author,content,timestamp,message_id
notonft,I don’t know what you mean bud. Nobody in usa relocates anywhere it’s just masturbating lies you guys like to talk about and never do,2023-06-21T19:47:58.878000+00:00,1121164633584173086
notonft,"Well, tbh now I experience here more I think I can see the benefits",2023-06-21T19:46:51.072000+00:00,1121164349185204256
notonft,But I think edrogan and I can get along,2023-06-21T19:46:11.479000+00:00,1121164183120138382
notonft,Too late bud im now registered here under Turkish law,2023-06-21T19:45:48.040000+00:00,1121164084809830450
notonft,Fiyopi trying to leave it’s weird,2023-06-21T19:44:48.268000+00:00,1121163834107899915
notonft,Why I don’t move here.,2023-06-21T19:44:32.963000+00:00,1121163769914073098
notonft,Starlight doesn’t want to go anywhere bud did you see the women they just here like buffet?,2023-06-21T19:44:18.150000+00:00,1121163707783839797
notonft,Yeah bud good luck getting to the airport with traffic,2023-06-21T19:43:44.336000+00:00,1121163565957664859
notonft,I’m trying to get out of Istanbul right now,2023-06-21T19:43:11.420000+00:00,1121163427897942117
notonft,You are holding shitcoin. I am providing 10% of the LP for that shitcoin since it started trading.,2023-06-21T19:41:26.464000+00:00,1121162987680563270
notonft,No bud. We aren’t the same.,2023-06-21T19:40:40.155000+00:00,1121162793446547497
notonft,is your pfp a real ordinal,2023-06-21T18:38:15.734000+00:00,1121147088206569603
notonft,We are all about efficiency and cutting costs at Turtles NFT,2023-06-21T18:30:44.436000+00:00,1121145195325558854
notonft,Fangs piss bucket. Also lunch pail. Also drinking water. Also chair.,2023-06-21T18:30:21.409000+00:00,1121145098743337040
notonft,Gross,2023-06-21T18:29:24.474000+00:00,1121144859940634685
notonft,Someone you know!,2023-06-21T18:29:07.080000+00:00,1121144786984910868
notonft,Bud if you want to dump just say wallet compromised no one here will be mad,2023-06-21T18:28:22.819000+00:00,1121144601340805311
notonft,It can’t survive if main reason for being here is to get your McFlurry,2023-06-21T18:26:56.640000+00:00,1121144239879880897
notonft,No I’m just transitioning the project from brokies,2023-06-21T18:26:13.237000+00:00,1121144057834516490
notonft,You need to find a new way to get your daily $7.63 McDonald’s meal,2023-06-21T18:25:37.986000+00:00,1121143909981098115
notonft,"There’s like 3,300 active Sol wallets now",2023-06-21T18:24:42.518000+00:00,1121143677331456152
notonft,Bud it’s not going to be same with Sol volume at this level sorry. Your free money time is over,2023-06-21T18:24:00.613000+00:00,1121143501569142925
notonft,No it’s autocorrect thing,2023-06-21T18:23:34.721000+00:00,1121143392970231988
notonft,You misspelled _bicurious_,2023-06-21T18:23:13.174000+00:00,1121143302595555428
notonft,Fcking rugger,2023-06-21T18:22:33.596000+00:00,1121143136593391758
notonft,Is it good or bad,2023-06-21T18:21:53.064000+00:00,1121142966589866074
notonft,I swapped 40,2023-06-21T18:21:47.483000+00:00,1121142943181447300
notonft,What,2023-06-21T18:21:39.528000+00:00,1121142909815750776
notonft,2 cry clown react is devastating to me,2023-06-21T18:19:19.027000+00:00,1121142320511860858
